Name,Links,Cost,Collections,Cuisines,Timings,num_cuisines,num_collections,avg_rating,rating_std,avg_pictures,avg_reviewer_followers,has_reviews,cost_bucket,cluster,cluster_label,pca_1,pca_2,cluster_label_ordered
Sardarji's Chaats & More,https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli,400.0,"Street Food, Veggie Friendly, Pocket Friendly","Street Food, North Indian, Fast Food","12 Noon to 3:30 PM, 7 PM to 10:30 PM",3,3,3.25,1.5000000000000002,0.25,244.6888888888889,1,Budget,1,Budget Everyday,0.6236506284611388,0.7761005634065176,Budget Everyday
Barbeque Nation,https://www.zomato.com/hyderabad/barbeque-nation-gachibowli,1600.0,Barbecue & Grill,"Mediterranean, North Indian, Kebab, BBQ","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM",4,1,4.12,1.110373492537215,0.85,346.80898876404495,1,Premium,2,Premium & Curated,-1.9708411964924868,-0.20859459829842103,Premium & Curated
Absolute Sizzlers,https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,750.0,Great Buffets,"Continental, American, Chinese",11:30 AM to 1 AM,3,1,3.62,1.581330471661778,0.45,225.36986301369862,1,Upper-Mid,1,Budget Everyday,0.5932409428045646,0.286337423766442,Budget Everyday
The Lal Street - Bar Exchange,https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli,1300.0,"Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops, Trending This Week","North Indian, Italian, Finger Food",12noon to 12midnight (Mon-Sun),3,5,3.45,1.2978225742925862,0.62,115.6701030927835,1,Premium,2,Premium & Curated,-1.5009173867331214,1.0020827739958285,Premium & Curated
AB's - Absolute Barbecues,https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli,1500.0,"Barbecue & Grill, Great Buffets, Corporate Favorites, Hyderabad's Hottest","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM",3,4,4.88,0.4980771105770752,0.24,10.6,1,Premium,2,Premium & Curated,-4.092358308823611,-2.114389299647017,Premium & Curated
KFC,https://www.zomato.com/hyderabad/kfc-gachibowli,500.0,,"Burger, Fast Food",11 AM to 11 PM,2,0,2.85,1.6229104669815844,0.16,170.97333333333333,1,Budget,1,Budget Everyday,2.274700581305815,0.22159580780282095,Budget Everyday
NorFest - The Dhaba,https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli,550.0,,North Indian,12 Noon to 10:30 PM,1,0,4.03,1.1499231419200293,0.64,298.7113402061856,1,Mid,1,Budget Everyday,0.2794482945369939,-2.2486368574832243,Budget Everyday
Hotel Zara Hi-Fi,https://www.zomato.com/hyderabad/hotel-zara-gachibowli,400.0,,"Chinese, North Indian",11:30 AM to 1 AM,2,0,2.4,1.7349642676726835,0.05,33.054545454545455,1,Budget,1,Budget Everyday,3.0449504898504305,0.8158142745464614,Budget Everyday
10 Downing Street,https://www.zomato.com/hyderabad/10-downing-street-gachibowli,1900.0,Trending This Week,"North Indian, Chinese, Continental",12 Noon to 12 Midnight,3,1,3.8,1.0917505172516258,1.05,261.4148936170213,1,Premium,0,Mid-Premium / Photogenic,-1.8203657320846556,-0.3340076409746777,Mid-Premium / Photogenic
Pakwaan Grand,https://www.zomato.com/hyderabad/pakwaan-grand-gachibowli,400.0,Trending This Week,"North Indian, Chinese, Biryani",12 Noon to 11 PM,3,1,2.71,1.5061825449081059,0.17,161.16883116883116,1,Budget,1,Budget Everyday,1.7379801699432316,0.85348876662751,Budget Everyday
13 Dhaba,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,450.0,Veggie Friendly,North Indian,"12:30 PM to 10 PM (Tue-Sun), Mon Closed",1,1,3.48,1.5665699518825882,0.41,114.28,1,Budget,1,Budget Everyday,1.4890093314339703,-0.777735468057881,Budget Everyday
